season,week,season_type,game_date,home_team,away_team,home_score,away_score,home_win,elo_diff,pythagorean_diff,win_pct_diff,ppg_diff,papg_diff,net_ppg_diff,yds_per_play_diff,def_yds_per_play_diff,turnover_diff_diff,passer_rating_diff,third_down_diff,red_zone_diff,injury_impact_diff,qb_out_home,qb_out_away,rest_days_diff,short_week_home,short_week_away,wind_adj,precip_adj,temp_adj,altitude_adj,divisional_game,is_neutral,vegas_home_prob,mc_win_pct
2021,13,2,2021-12-05,LV,WAS,15,17,0,10.92,0.0444,0.0909,2.73,1.18,1.55,0.109,0.047,-4.0,8.063,-1.46,-0.33,0.0,0,0,5,0,1,0.0,0.0,0.0,0.0,0,0,0.5,0.5522
2021,13,2,2021-12-05,LAR,JAX,37,7,1,77.52,0.3379,0.4545,11.45,-1.82,13.27,0.458,-0.073,22.0,29.442,8.053,11.28,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.699
2021,13,2,2021-12-05,PIT,BAL,20,19,1,-27.6,-0.1566,-0.2727,-3.55,2.45,-6.0,-0.142,0.098,13.0,0.898,2.468,-4.93,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.4517
2021,13,2,2021-12-05,SEA,SF,30,23,1,-36.85,-0.1176,-0.2727,-6.45,-2.0,-4.45,-0.258,-0.08,9.0,3.883,-2.895,-2.09,0.0,0,0,-2,1,0,0.0,0.0,0.0,0.0,1,0,0.5,0.4712
2021,13,2,2021-12-06,KC,DEN,22,9,1,17.27,-0.0198,0.0909,4.82,4.91,-0.09,0.193,0.196,3.0,6.41,13.697,5.57,0.0,0,0,7,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.5201
2021,13,2,2021-12-07,BUF,NE,10,14,0,-6.24,0.0049,-0.0303,1.64,0.71,0.92,0.065,0.028,1.0,-4.194,2.855,-0.86,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.5325
2021,14,2,2021-12-10,MIN,PIT,36,28,1,5.17,0.0988,-0.0833,5.33,1.58,3.75,0.213,0.063,9.0,16.356,-2.508,6.38,0.0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0.5,0.5794
2021,14,2,2021-12-12,CLE,BAL,24,22,1,-15.42,-0.0775,-0.1667,-2.33,0.58,-2.92,-0.093,0.023,8.0,0.233,2.707,3.07,0.0,0,0,6,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.4912
2021,14,2,2021-12-12,TEN,JAX,20,0,1,84.97,0.3243,0.5,10.33,-2.5,12.83,0.413,-0.1,17.0,17.842,7.795,13.58,0.0,0,0,7,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.6921
2021,14,2,2021-12-12,KC,LV,48,9,1,43.42,0.1683,0.1667,2.42,-4.42,6.83,0.097,-0.177,13.0,4.283,14.816,8.62,0.0,0,0,-1,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.6141
2021,14,2,2021-12-12,NYJ,NO,9,30,0,-43.22,-0.2722,-0.1667,-4.75,7.58,-12.33,-0.19,0.303,-20.0,-11.362,0.866,-4.03,0.0,0,0,-2,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.3939
2021,14,2,2021-12-12,WAS,DAL,20,27,0,-43.44,-0.2695,-0.1667,-8.92,2.5,-11.42,-0.357,0.1,-19.0,-18.99,-4.582,-11.08,0.0,0,0,-2,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.3953
2021,14,2,2021-12-12,CAR,ATL,21,29,0,20.14,0.1936,0.0,1.67,-6.58,8.25,0.067,-0.263,-7.0,-18.095,-3.118,1.34,0.0,0,0,7,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.6268
2021,14,2,2021-12-12,HOU,SEA,13,33,0,-42.64,-0.3086,-0.1667,-6.25,6.17,-12.42,-0.25,0.247,-2.0,-17.866,2.443,-15.93,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.3757
2021,14,2,2021-12-12,DEN,DET,38,10,1,60.0,0.2899,0.4167,2.83,-8.17,11.0,0.113,-0.327,5.0,3.585,3.756,8.05,0.0,0,0,-1,0,0,0.0,0.0,0.0,0.3,0,0,0.5,0.6749
2021,14,2,2021-12-12,LAC,NYG,37,21,1,36.7,0.1462,0.25,8.58,3.5,5.08,0.343,0.14,7.0,27.248,8.727,16.59,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.6031
2021,14,2,2021-12-12,CIN,SF,23,26,0,11.64,0.0738,0.0833,2.33,-0.92,3.25,0.093,-0.037,4.0,7.758,-0.587,-7.05,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.5669
2021,14,2,2021-12-12,TB,BUF,33,27,1,9.63,-0.0939,0.1667,3.42,6.17,-2.75,0.137,0.247,2.0,10.287,0.689,3.67,0.0,0,0,2,0,1,0.0,0.0,0.0,0.0,0,0,0.5,0.483
2021,14,2,2021-12-13,GB,CHI,45,30,1,71.6,0.291,0.4167,6.83,-3.75,10.58,0.273,-0.15,26.0,31.843,8.842,10.65,0.0,0,0,7,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.6755
2021,14,2,2021-12-14,ARI,LAR,23,30,0,38.52,0.1062,0.1667,0.58,-3.83,4.42,0.023,-0.153,10.0,-0.929,1.347,-1.54,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.5831
